Inference Time (ms),FPS
89.07,11.23
92.17,10.85
89.76,11.14
89.95,11.12
91.84,10.89
89.06,11.23
90.69,11.03
89.78,11.14
90.58,11.04
89.47,11.18
90.17,11.09
89.81,11.13
90.53,11.05
89.59,11.16
89.84,11.13
90.32,11.07
90.51,11.05
91.77,10.90
88.86,11.25
89.92,11.12
88.76,11.27
89.76,11.14
89.18,11.21
90.72,11.02
90.07,11.10
88.77,11.27
89.33,11.19
89.52,11.17
89.34,11.19
88.40,11.31
89.37,11.19
90.53,11.05
90.02,11.11
90.74,11.02
90.17,11.09
89.35,11.19
90.01,11.11
89.98,11.11
90.45,11.06
90.28,11.08
90.92,11.00
90.26,11.08
90.70,11.03
91.37,10.94
90.61,11.04
90.02,11.11
91.45,10.93
90.77,11.02
91.28,10.95
90.53,11.05
91.35,10.95
89.88,11.13
90.12,11.10
88.02,11.36
91.11,10.98
90.84,11.01
90.54,11.04
88.73,11.27
89.49,11.17
90.06,11.10
91.24,10.96
88.53,11.30
90.69,11.03
90.91,11.00
91.28,10.95
87.98,11.37
90.93,11.00
89.53,11.17
90.20,11.09
92.03,10.87
93.33,10.71
90.11,11.10
90.74,11.02
90.30,11.07
91.28,10.96
91.83,10.89
90.41,11.06
90.85,11.01
91.01,10.99
90.12,11.10
90.69,11.03
93.17,10.73
90.06,11.10
90.95,10.99
91.20,10.96
91.94,10.88
91.47,10.93
90.67,11.03
91.45,10.94
91.42,10.94
89.97,11.12
91.31,10.95
92.02,10.87
89.35,11.19
89.95,11.12
90.94,11.00
90.84,11.01
88.67,11.28
91.13,10.97
90.69,11.03
90.62,11.04
88.22,11.33
92.76,10.78
90.80,11.01
89.47,11.18
91.11,10.98
90.98,10.99
88.35,11.32
88.50,11.30
89.25,11.21
89.36,11.19
92.48,10.81
91.84,10.89
89.56,11.17
91.02,10.99
90.34,11.07
92.03,10.87
91.13,10.97
90.20,11.09
90.33,11.07
91.81,10.89
90.51,11.05
91.60,10.92
91.58,10.92
92.20,10.85
90.94,11.00
90.86,11.01
90.84,11.01
91.42,10.94
90.07,11.10
89.91,11.12
91.22,10.96
92.16,10.85
90.54,11.04
90.56,11.04
89.79,11.14
92.18,10.85
89.44,11.18
91.07,10.98
89.67,11.15
92.00,10.87
90.98,10.99
91.23,10.96
90.50,11.05
90.95,11.00
91.41,10.94
91.25,10.96
91.28,10.95
91.49,10.93
91.05,10.98
90.42,11.06
90.87,11.00
91.62,10.91
90.55,11.04
90.79,11.01
90.92,11.00
88.27,11.33
90.73,11.02
90.77,11.02
90.58,11.04
89.59,11.16
90.24,11.08
91.28,10.96
89.72,11.15
89.88,11.13
91.42,10.94
90.44,11.06
90.15,11.09
89.86,11.13
90.14,11.09
89.92,11.12
89.47,11.18
89.61,11.16
91.83,10.89
90.57,11.04
91.51,10.93
90.11,11.10
90.42,11.06
90.93,11.00
93.06,10.75
91.13,10.97
89.93,11.12
89.75,11.14
90.92,11.00
90.68,11.03
89.58,11.16
91.09,10.98
91.92,10.88
91.04,10.98
90.31,11.07
90.36,11.07
93.81,10.66
90.58,11.04
90.09,11.10
90.69,11.03
92.24,10.84
90.04,11.11
91.54,10.92
90.46,11.05
92.43,10.82
93.05,10.75
90.33,11.07
90.66,11.03
90.95,11.00
90.79,11.01
90.45,11.06
90.36,11.07
91.76,10.90
91.01,10.99
90.12,11.10
89.85,11.13
92.19,10.85
90.41,11.06
89.53,11.17
91.11,10.98
91.55,10.92
89.64,11.16
91.36,10.95
89.50,11.17
90.24,11.08
90.63,11.03
90.72,11.02
91.04,10.98
89.65,11.15
89.87,11.13
91.63,10.91
91.02,10.99
91.09,10.98
91.57,10.92
89.78,11.14
90.13,11.09
89.47,11.18
91.47,10.93
92.58,10.80
90.49,11.05
89.53,11.17
88.75,11.27
90.00,11.11
92.00,10.87
87.93,11.37
87.97,11.37
90.53,11.05
93.34,10.71
92.56,10.80
88.45,11.31
89.88,11.13
90.38,11.06
91.35,10.95
88.17,11.34
90.98,10.99
90.30,11.07
89.87,11.13
88.46,11.30
90.58,11.04
90.41,11.06
91.03,10.99
91.27,10.96
90.04,11.11
90.12,11.10
91.45,10.94
90.46,11.05
90.56,11.04
91.00,10.99
90.99,10.99
90.50,11.05
91.14,10.97
90.63,11.03
90.88,11.00
91.39,10.94
90.57,11.04
91.18,10.97
91.16,10.97
89.64,11.16
90.09,11.10
91.60,10.92
91.13,10.97
91.09,10.98
91.54,10.92
90.00,11.11
91.68,10.91
90.28,11.08
90.17,11.09
90.42,11.06
92.49,10.81
91.36,10.95
90.72,11.02
90.48,11.05
91.67,10.91
89.96,11.12
90.91,11.00
91.08,10.98
91.91,10.88
91.26,10.96
89.81,11.13
90.04,11.11
92.04,10.86
91.80,10.89
89.48,11.18
91.14,10.97
91.75,10.90
90.08,11.10
89.98,11.11
90.71,11.02
91.58,10.92
91.44,10.94
90.29,11.08
91.51,10.93
89.62,11.16
88.00,11.36
91.47,10.93
90.49,11.05
89.91,11.12
87.75,11.40
90.03,11.11
90.81,11.01
90.69,11.03
88.45,11.31
90.25,11.08
91.00,10.99
90.16,11.09
88.28,11.33
91.10,10.98
89.99,11.11
90.31,11.07
87.98,11.37
91.19,10.97
91.38,10.94
90.78,11.02
87.83,11.39
91.18,10.97
91.25,10.96
90.99,10.99
90.73,11.02
91.32,10.95
91.97,10.87
90.08,11.10
91.37,10.94
91.34,10.95
90.91,11.00
89.95,11.12
90.64,11.03
91.24,10.96
90.40,11.06
90.80,11.01
90.67,11.03
91.12,10.97
90.67,11.03
91.02,10.99
91.10,10.98
90.44,11.06
90.39,11.06
90.90,11.00
90.91,11.00
89.78,11.14
90.25,11.08
91.24,10.96
90.43,11.06
90.50,11.05
90.91,11.00
90.80,11.01
89.76,11.14
91.21,10.96
91.32,10.95
92.01,10.87
90.65,11.03
90.07,11.10
91.03,10.99
91.83,10.89
91.41,10.94
89.58,11.16
91.35,10.95
91.70,10.91
90.36,11.07
91.00,10.99
90.67,11.03
91.85,10.89
90.36,11.07
89.78,11.14
90.60,11.04
91.05,10.98
88.14,11.34
91.02,10.99
91.13,10.97
90.72,11.02
88.34,11.32
91.51,10.93
89.64,11.16
89.74,11.14
88.32,11.32
91.05,10.98
90.81,11.01
89.90,11.12
88.07,11.35
91.15,10.97
90.96,10.99
90.27,11.08
88.28,11.33
90.09,11.10
90.31,11.07
89.67,11.15
88.76,11.27
90.50,11.05
91.28,10.96
89.78,11.14
88.73,11.27
90.76,11.02
90.26,11.08
